,SELECTION_Decision,COT_Decision
045851bf-541e-42db-ba65-01182aa08968,EXCLUDE,INCLUDE
045945be-f11d-4a45-ba67-ad7a14651503,EXCLUDE,EXCLUDE
04669c7e-2212-4176-92b4-b8a077f8a560,EXCLUDE,EXCLUDE
0472092b-df4d-4a28-9cf8-7d619abfca08,INCLUDE,INCLUDE
04775a8d-e6e5-439b-9533-bc27b232845e,EXCLUDE,EXCLUDE
0482b4b0-9e8e-4a37-a471-18f706a380e0,EXCLUDE,EXCLUDE
048337db-018b-4d7b-9cde-1a3e2790cc83,INCLUDE,INCLUDE
04847798-c7d9-4561-9d3a-eac342911624,EXCLUDE,EXCLUDE
048a194e-68cc-4379-9324-ca3040db6341,EXCLUDE,EXCLUDE
048ba484-f732-4ea4-b97e-2c9ca913d57c,EXCLUDE,EXCLUDE
049c8699-68eb-44be-9359-7577f4bf5123,EXCLUDE,EXCLUDE
04a67a49-6b91-4634-a330-832c148178d8,INCLUDE,INCLUDE
04c6c6a9-3ec2-4bb1-b8e5-b0a9baf1840d,EXCLUDE,EXCLUDE
04ca8f16-9a67-422f-b92a-f1b9be517096,EXCLUDE,INCLUDE
04cf446c-3821-4feb-8546-7c26254ef6c4,INCLUDE,EXCLUDE
04efd3ac-2a4e-48e5-9ff1-3f8386d1f325,EXCLUDE,EXCLUDE
04f59008-cdec-44be-8b89-0c406a5f921b,EXCLUDE,EXCLUDE
04f63cbc-4291-424e-8f9a-9aad24c15e34,INCLUDE,INCLUDE
04fcf5e3-d7c7-4ecf-b1e7-8d887a60b8a9,EXCLUDE,EXCLUDE
0500916f-9e25-4d6f-a254-01d330fae1ad,INCLUDE,INCLUDE
05097d31-10cb-45e3-873b-29bdee27d448,EXCLUDE,EXCLUDE
050a0b2f-98f4-46b1-903f-829eba80664b,INCLUDE,EXCLUDE
050a1bed-47f0-4a8b-851c-c425e59574a4,EXCLUDE,EXCLUDE
0513fc55-9cbe-451b-950a-03a58c938883,INCLUDE,INCLUDE
051db7f8-e7dc-4225-b0aa-9061e31a94d6,EXCLUDE,EXCLUDE
051e3d27-a962-4095-8373-9a0f335b9f2e,INCLUDE,EXCLUDE
051ea633-5026-4783-9f33-859d9c786bc9,INCLUDE,INCLUDE
051f57cb-282c-4aae-8a9c-43b8918fe866,EXCLUDE,EXCLUDE
0524de17-e2b4-4336-b0ef-f5dfa7c38714,INCLUDE,INCLUDE
052b244c-f338-42a6-b8e2-4e744dd9a4fb,EXCLUDE,EXCLUDE
052ef8fa-ddc5-40b9-a352-187755d38f99,INCLUDE,INCLUDE
0536b21a-ac40-4c0c-8c5c-b565e6a74d24,EXCLUDE,EXCLUDE
05423010-af12-46e3-a2b6-ae1e2df5b37b,EXCLUDE,EXCLUDE
054adf25-31ad-4052-9251-3170c13e0198,EXCLUDE,EXCLUDE
055b380b-babb-4238-b479-bd7d1b06a085,EXCLUDE,EXCLUDE
05631324-c1a2-442d-94b2-974b63143a94,EXCLUDE,EXCLUDE
0567b593-dcb6-425b-9967-5182ff9d78b2,EXCLUDE,EXCLUDE
05759d9f-9af1-421c-98ae-2037b6d7ff06,INCLUDE,INCLUDE
059067af-7d90-4883-9e85-baddfafa44e1,INCLUDE,INCLUDE
05b1551c-2a77-4d22-ba91-4704e29dfb53,EXCLUDE,EXCLUDE
05c0a07c-c3cc-432a-804a-d763c64b3762,EXCLUDE,EXCLUDE
05c81b62-7fdd-486b-af87-d852b5102573,EXCLUDE,EXCLUDE
05c8b818-107a-40bf-9e05-0e5c137f211a,INCLUDE,INCLUDE
05d46991-8a53-452e-b574-33e18f340fac,INCLUDE,INCLUDE
05d66dfa-e3b0-4f25-8a3a-708867c0b86c,EXCLUDE,EXCLUDE
05e8863c-f8c0-4736-802d-2dd18aec56e0,EXCLUDE,EXCLUDE
0607f832-2544-4fb9-8bbb-91193e94a76b,EXCLUDE,EXCLUDE
061320c2-0caf-4bb3-b8da-d128bd2e912e,EXCLUDE,EXCLUDE
062e9513-6f0b-4100-8e6a-77e431ef21dd,INCLUDE,INCLUDE
062f0b74-c6c1-4e0d-8f05-ee48f89fcb02,INCLUDE,INCLUDE
06324d2f-1d36-44ea-83ce-50d36a3d46e3,EXCLUDE,EXCLUDE
06615123-8d40-4891-b9c6-57eb865f9369,EXCLUDE,EXCLUDE
06693867-b866-4232-8c1d-35c1cac59513,EXCLUDE,EXCLUDE
066966ec-ec38-438d-944d-7089c0e84f8a,EXCLUDE,EXCLUDE
067b8c6d-b90f-450e-9e74-9011f6a40835,EXCLUDE,INCLUDE
06941b0b-2066-4e31-9f32-6893cd6debeb,EXCLUDE,EXCLUDE
0699e340-07d6-4b16-8f00-93b817e7947f,EXCLUDE,EXCLUDE
06aae3c5-9272-4fe9-b182-19efe069668b,EXCLUDE,EXCLUDE
06b06b4a-e821-4296-bfe9-3d5dcac65fe5,INCLUDE,INCLUDE
06b5f3df-ea63-4323-aa4d-9b17a499d30b,INCLUDE,INCLUDE
06b9eb9d-0e58-48c0-b376-ce68d420f51c,EXCLUDE,EXCLUDE
06be6d45-aa6b-4561-b636-3aa26f25c5c1,INCLUDE,INCLUDE
06c76cb2-5d7a-47db-a79c-118c351b77a3,EXCLUDE,EXCLUDE
06ca58d8-8a43-4112-a85e-3bb7e40483fe,INCLUDE,INCLUDE
06d3e152-c875-4a58-9810-c118b4df6089,EXCLUDE,EXCLUDE
06ed5699-95e6-4a15-b72c-c9a79117b28d,EXCLUDE,EXCLUDE
06f8188c-145c-4794-97fe-9a5ff7fa2588,EXCLUDE,EXCLUDE
070063ab-6585-480b-84e6-fe6ba43fc65e,INCLUDE,INCLUDE
0705dbcf-90d7-41ea-a857-a9524afbcd07,EXCLUDE,EXCLUDE
0711aab2-18d0-4459-98dd-25a811c4fb39,INCLUDE,INCLUDE
071b48f8-c59b-41dd-b9b9-d13fba379afa,EXCLUDE,EXCLUDE
07219386-f36d-47ab-8488-777beef5c602,EXCLUDE,EXCLUDE
072540fc-9295-47fd-8c80-7f53bbdc1fbb,EXCLUDE,EXCLUDE
07476d7d-daeb-4e49-8d65-36fa37c61cc7,EXCLUDE,INCLUDE
07479266-15a3-471b-8e3b-42b2a72e0cf6,EXCLUDE,EXCLUDE
0772eb5b-ae0e-490c-a49e-9fdea1d175cd,EXCLUDE,EXCLUDE
07751196-e149-4459-ac51-d7ee20011cd2,EXCLUDE,EXCLUDE
07922750-561b-42a0-9239-6e62f369af4f,EXCLUDE,EXCLUDE
0793d8c9-498d-4dfc-8fbb-5190fa636483,EXCLUDE,EXCLUDE
079d6fb9-e944-4398-8a06-91d66ba2f051,EXCLUDE,EXCLUDE
079ef37e-ef5d-440e-87ae-a51a9f49bdd6,EXCLUDE,EXCLUDE
07ad972d-26fa-4dd9-8051-ff4d862026ec,EXCLUDE,EXCLUDE
07af9878-5864-4f98-99e7-cb61e8d42540,INCLUDE,INCLUDE
07b5b577-821a-44e2-b255-5bdcbb1d77c3,INCLUDE,EXCLUDE
07e00637-cc40-471d-96f1-f47d8541d3c9,INCLUDE,INCLUDE
07eb75fe-3683-47d1-9fae-6e3b87d8b5c7,EXCLUDE,EXCLUDE
07ee830d-273f-4ebc-8e8a-4b6272ed5db0,INCLUDE,EXCLUDE
07f4d855-9681-4732-b11d-3eac86fc7b3b,INCLUDE,EXCLUDE
07fd58b1-19ca-4958-b940-64a00b7adf60,EXCLUDE,EXCLUDE
0811c972-76d6-4a3a-99a6-22e5f1a5a75c,EXCLUDE,INCLUDE
0815ec24-a1dd-44e7-bdad-08db93ffffae,EXCLUDE,EXCLUDE
0823d728-7a2b-4c6e-bc05-745214599425,EXCLUDE,EXCLUDE
0826eb23-2c39-4e8c-8b21-b5422cafc5cc,INCLUDE,INCLUDE
082c6b2a-ff1c-4fe1-81ed-f1550be94c85,INCLUDE,INCLUDE
08340ed6-c58d-4faf-bbde-82772de2149d,INCLUDE,INCLUDE
0838db6a-7aee-4133-ab24-4a91a0889867,EXCLUDE,EXCLUDE
0839d101-49fe-4d34-9d0d-33e8037e32d2,INCLUDE,INCLUDE
085da989-6323-46f0-b445-f1122012dc74,EXCLUDE,EXCLUDE
085f3faa-6533-4db3-b074-cdaf00920db7,INCLUDE,INCLUDE
0866df42-5fbd-429b-bedc-d37e30c97706,INCLUDE,INCLUDE
086bd314-77ee-4abe-b1bf-ced729abb231,INCLUDE,EXCLUDE
08824fd2-6c7d-48a8-b627-806d3ea28696,INCLUDE,INCLUDE
0888c771-c706-4d5a-8888-f37a06559b97,EXCLUDE,EXCLUDE
088fba81-8eb0-4185-a874-e2b37bdc114b,INCLUDE,INCLUDE
08b12227-1021-4543-8d68-beeaa4353737,EXCLUDE,EXCLUDE
08b969b8-9c1d-4feb-bbec-dd189b58a59d,EXCLUDE,INCLUDE
08bea3a0-2f44-466c-91fa-6f812c1937d7,INCLUDE,INCLUDE
08c692ad-2689-4426-9988-67b369071f34,INCLUDE,INCLUDE
08c8b219-1b45-4617-adc6-e37540f667e7,EXCLUDE,EXCLUDE
08cbde5f-8ce8-4925-a095-340bc6452c7d,EXCLUDE,EXCLUDE
08de25e1-6e36-470c-b1a3-7d51046c6c04,EXCLUDE,EXCLUDE
08df6402-e292-45b2-9803-6937984a6be0,EXCLUDE,EXCLUDE
08e3867c-9e56-4e51-ade3-242296c5b549,INCLUDE,INCLUDE
08e4202d-3cc4-4cad-a125-fb0ae15d3abc,EXCLUDE,EXCLUDE
08eecc5a-90e7-4f32-92c1-0e4aeaec06f9,INCLUDE,INCLUDE
08fb136b-93de-4d4e-80e2-6621febd8b35,EXCLUDE,EXCLUDE
09022a28-fd56-4115-b5ea-7286713ead4d,INCLUDE,EXCLUDE
0904a0af-7511-429a-9a5f-fff663387433,EXCLUDE,EXCLUDE
092b2ac8-140f-4214-a9c6-9011388cbcf8,EXCLUDE,EXCLUDE
09321374-c9e1-4834-a128-e580ea56ee75,INCLUDE,INCLUDE
0932e09d-c337-44ab-b7fd-6f65035e42f9,EXCLUDE,EXCLUDE
0941516e-dc48-4a6b-a52f-3692bf41dea9,EXCLUDE,INCLUDE
094a841d-484e-4780-a783-73e176c466bc,EXCLUDE,EXCLUDE
096e90c5-35e0-431a-b8a2-3fa189941ed1,INCLUDE,INCLUDE
096f73f2-aa1b-4a54-bcb3-c667f2850196,INCLUDE,INCLUDE
0975c2cd-45cd-4b6b-a16d-1ae245b111b6,INCLUDE,INCLUDE
097fa936-7394-495e-8a5b-6de947807a2d,EXCLUDE,EXCLUDE
098266d1-432f-44a8-bcc0-d97df67f4cc6,INCLUDE,INCLUDE
09841b5c-f62d-428c-ac8e-aa726e0f9269,EXCLUDE,EXCLUDE
0984202c-c51c-45e4-996c-4140fef3d179,EXCLUDE,EXCLUDE
09891450-bb51-44a5-a461-7d758283c1a5,INCLUDE,EXCLUDE
099ec3a9-50b5-4971-8e18-45706eec9270,EXCLUDE,INCLUDE
09a2d677-a015-470a-80ad-4f64aaaae7e5,EXCLUDE,EXCLUDE
09d4770a-7371-4ead-8f88-c7c0776a4939,INCLUDE,EXCLUDE
09d51b48-e6fb-4f53-87c5-b9baa36be9a1,EXCLUDE,EXCLUDE
09e01a62-1ef0-42c1-a9bf-5baa91988528,INCLUDE,INCLUDE
09e0c53e-72b5-4679-a8eb-1d37a1e0c36b,EXCLUDE,EXCLUDE
09e9e089-7c81-4187-9d95-9e9ce2859e75,INCLUDE,INCLUDE
09f31737-e47a-4144-a93c-b21d03d6e24a,INCLUDE,INCLUDE
09f66fca-299a-476b-962a-813ecf1578f2,INCLUDE,INCLUDE
0a036bac-12d5-4106-b7ae-5f65366cd4f6,EXCLUDE,EXCLUDE
0a071e72-1581-4187-9a28-9e617ecd4736,INCLUDE,INCLUDE
0a188a4e-5caa-4ca2-a7cd-50c2b13d8dcc,INCLUDE,INCLUDE
0a1eff39-4660-4f24-953f-f24e747be28c,EXCLUDE,EXCLUDE
0a220052-bfae-4cb1-960a-e271dceb86cf,EXCLUDE,EXCLUDE
0a301c25-372a-408c-a2c1-c1f50fb85b3f,EXCLUDE,EXCLUDE
0a37a020-8740-4ef3-bf27-a94b4afc69ae,EXCLUDE,EXCLUDE
0a393235-3c9f-4e3c-b556-b75d47d9a837,EXCLUDE,EXCLUDE
0a48f46f-3a9a-41a6-8573-1dec58ed0dbc,EXCLUDE,EXCLUDE
0a4a625d-7d0b-4733-a6c6-2e2ad9cf3f72,INCLUDE,INCLUDE
0a56a935-2e9a-4b73-89ed-1dc9ae5994d3,EXCLUDE,EXCLUDE
0a5f6dff-a29c-4e32-8060-07773e66def3,INCLUDE,INCLUDE
0a6475b4-3caf-4637-ad09-750a609cd384,EXCLUDE,EXCLUDE
0a6685ba-8bd9-4cc9-9144-0e073802629f,EXCLUDE,EXCLUDE
0a6cc8c8-4210-400c-92ba-6bd2657abd13,INCLUDE,INCLUDE
0a6d0094-8780-4377-86a4-9156a4273832,INCLUDE,INCLUDE
0a7f12b4-c0ba-4aef-b42b-b29af77de482,INCLUDE,INCLUDE
0a93a061-e716-46f9-9c78-d10ced0049f6,EXCLUDE,EXCLUDE
0a96f290-8ac9-407b-b260-b822c2fa8601,EXCLUDE,INCLUDE
0aa7cc0a-d96b-4459-b9af-3ed11a2da65e,EXCLUDE,INCLUDE
0ac31510-2a3a-4828-92c2-07e4b185da82,EXCLUDE,EXCLUDE
0ac9027a-b13c-42ea-818a-0f7a929bb437,EXCLUDE,INCLUDE
0ae44c2c-2323-4901-bfd7-3fa57926d646,EXCLUDE,EXCLUDE
0b04a8d5-4575-47bb-a6c5-8ed4c77bffc1,EXCLUDE,EXCLUDE
0b0ef276-74d2-4281-8172-38b9d713364a,EXCLUDE,INCLUDE
0b14535c-977d-444a-b88b-4e92e2d3b180,INCLUDE,INCLUDE
0b208a20-bbbf-40a2-860c-9d8f07d05892,INCLUDE,INCLUDE
0b25b4fc-e886-48b9-ab5b-441b66167b38,INCLUDE,INCLUDE
0b2e44c8-ecd4-4e01-9fe8-70290019b967,EXCLUDE,EXCLUDE
0b37e899-eeb2-4065-8fe0-ebc56ac55063,EXCLUDE,EXCLUDE
0b3dd3ab-1187-4dc0-90c8-a461d7e51e91,EXCLUDE,EXCLUDE
0b550eb4-a28e-4194-b3df-1713a8b6e37c,INCLUDE,INCLUDE
0b5a51d6-1216-4286-b948-83c318f35405,EXCLUDE,INCLUDE
0b65126d-5019-45d9-80bf-c4ac05d041d5,EXCLUDE,EXCLUDE
0b66ec65-f801-4b43-a7f3-1bfc74d0295f,INCLUDE,INCLUDE
0b6dcc0c-668b-48f8-863e-62cea6c2a30d,EXCLUDE,EXCLUDE
0b9f981d-a446-4533-98ba-95d8f225f3d1,EXCLUDE,EXCLUDE
0ba8fcd3-6a51-4879-943a-d5305ba53e75,EXCLUDE,EXCLUDE
0bb4a210-baec-4a57-b590-2c82fdc2384b,INCLUDE,INCLUDE
0bc24bd0-6a9d-4e43-a9c4-feb4e3d1f266,EXCLUDE,EXCLUDE
0bc28c89-d185-44d5-a3fc-d22f5a4b4afb,EXCLUDE,EXCLUDE
0bc744e8-491e-4eb3-80d2-2756fb73c210,EXCLUDE,EXCLUDE
0bd6754b-aeb9-4a1d-ad6e-2e80291e8c57,EXCLUDE,EXCLUDE
0bd73ff8-7ffb-4d84-835a-103227c53ce6,EXCLUDE,EXCLUDE
0bdb67a6-351b-4203-85b0-99dff9fea187,EXCLUDE,INCLUDE
0be371c7-0dc9-4602-868b-b45ae5f3d9ae,EXCLUDE,EXCLUDE
0beb1004-52bf-41f6-9f38-637fb4bc8a99,INCLUDE,INCLUDE
0bf1232b-f0af-4bbc-b097-d33641c859e1,EXCLUDE,EXCLUDE
0bf563ec-5f03-4182-a1b0-1c49694ad2b9,EXCLUDE,EXCLUDE
0bf62fad-404d-4bee-bd1f-387558f0c69c,EXCLUDE,EXCLUDE
0bf7b02f-2409-4e16-bddf-7ad5a3cc9890,EXCLUDE,EXCLUDE
0c07cd18-9b51-41e4-a313-eef851fdc4f5,EXCLUDE,EXCLUDE
0c218033-44c1-4317-bb64-60a56223c32e,EXCLUDE,EXCLUDE
0c2d21bc-4842-4c9f-ab4b-4a4c11557f0d,INCLUDE,INCLUDE
0c2d2490-9f4a-47ed-a6f5-8192320a9c05,INCLUDE,INCLUDE
0c2f8f08-e89e-420a-83d4-d4aaff19faae,EXCLUDE,EXCLUDE
0c44375e-741c-47ac-950f-4fd40f6d5885,EXCLUDE,EXCLUDE
0c53ce5c-978b-4087-bae5-7ab9604341cb,INCLUDE,INCLUDE
0c5436cc-5ff5-4972-addd-ab9c91c0fe3e,EXCLUDE,EXCLUDE
0c5e153e-8f5e-4e45-bb05-ec51d4b45e63,INCLUDE,INCLUDE
0c5f25a9-969d-4919-a0b3-8d5b27288fcd,EXCLUDE,EXCLUDE
0c67e167-3bff-4567-bc3b-2a3f2abd84f0,EXCLUDE,EXCLUDE
0c6e512b-13f2-42ad-b333-d08bdbf5d2bd,INCLUDE,INCLUDE
0c71a7bb-658a-486f-9122-90ef0d70abde,EXCLUDE,EXCLUDE
0c80acf5-210f-4c34-965f-bc3224b0b4b2,EXCLUDE,EXCLUDE
0c874a55-efe8-46cb-9a14-b6bac00d4be9,EXCLUDE,EXCLUDE
0c9b83bd-33d5-4103-bf07-898015e1efb3,EXCLUDE,EXCLUDE
0c9be217-5e9f-4f94-9087-7ff2461fb317,EXCLUDE,EXCLUDE
0ca26f49-53a5-4c9f-b0f9-20350ff4dcd7,EXCLUDE,EXCLUDE
0cb048a5-aff2-4598-b5f1-0d6549b44e44,INCLUDE,INCLUDE
0cbdcd8e-24e2-4aaf-91d3-b95e72ecaa5a,INCLUDE,EXCLUDE
0cbe5c9a-138c-4c85-984b-618c680968e0,EXCLUDE,EXCLUDE
0cc3a9a8-1682-42d9-8a94-bfa4623c58ce,INCLUDE,INCLUDE
0cc8c62a-9875-4cb1-8f89-afe8ad0d1650,EXCLUDE,EXCLUDE
0cdfb6e8-58f2-46e1-a1a5-547c45a1cb74,EXCLUDE,EXCLUDE
0cea34e8-5bf0-4333-87e6-44ba333376ed,EXCLUDE,EXCLUDE
0cef1076-ad5f-47d6-8519-eb11a8e033a7,EXCLUDE,INCLUDE
0d01c75d-a735-45bb-85a5-a6b60b63e8cc,INCLUDE,INCLUDE
0d02f725-5b32-4508-b1a8-4de64ca401ee,INCLUDE,INCLUDE
0d0dc103-8e4b-4744-9673-a9b7ad8c5397,EXCLUDE,EXCLUDE
0d279386-3a92-418a-9183-0cccad773f6d,EXCLUDE,INCLUDE
0d2f5dae-0aa7-452f-8993-b1959fecb938,EXCLUDE,EXCLUDE
0d4401d4-b2e4-48e7-b6ac-54f3c2924880,EXCLUDE,EXCLUDE
0d509aa8-553c-4ab6-9dec-08b3acaff851,INCLUDE,INCLUDE
0d807d40-5185-4fb6-a879-34214e235b1e,EXCLUDE,EXCLUDE
0d818949-4131-409b-8f00-d649f73d75b8,EXCLUDE,EXCLUDE
0d852d6c-3324-45d4-bf26-f08dbdb9114f,INCLUDE,EXCLUDE
0da21b7a-895b-4882-98d6-7ab767be7d2b,EXCLUDE,EXCLUDE
0da5a96d-f187-4411-b14d-b0df6d8ed267,EXCLUDE,EXCLUDE
0da9f20c-8bf4-4b35-99ab-336fd5e749d5,INCLUDE,INCLUDE
0db6bbd1-8a14-4aa6-9e39-55bebefe0d9f,EXCLUDE,EXCLUDE
0dc7b5ec-81a8-4207-b3ac-4dccfec5f21b,INCLUDE,INCLUDE
0dc88eb5-27be-4a88-9e66-b982bdf36314,INCLUDE,INCLUDE
