,SIMPLE_Decision,SELECTION_Decision,COT_Decision
052ef8fa-ddc5-40b9-a352-187755d38f99,INCLUDE,INCLUDE,INCLUDE
0536b21a-ac40-4c0c-8c5c-b565e6a74d24,EXCLUDE,EXCLUDE,EXCLUDE
05423010-af12-46e3-a2b6-ae1e2df5b37b,EXCLUDE,EXCLUDE,EXCLUDE
054adf25-31ad-4052-9251-3170c13e0198,EXCLUDE,EXCLUDE,EXCLUDE
055b380b-babb-4238-b479-bd7d1b06a085,EXCLUDE,EXCLUDE,EXCLUDE
05631324-c1a2-442d-94b2-974b63143a94,EXCLUDE,EXCLUDE,EXCLUDE
0567b593-dcb6-425b-9967-5182ff9d78b2,EXCLUDE,EXCLUDE,EXCLUDE
05c0a07c-c3cc-432a-804a-d763c64b3762,EXCLUDE,EXCLUDE,EXCLUDE
05c81b62-7fdd-486b-af87-d852b5102573,EXCLUDE,EXCLUDE,EXCLUDE
05c8b818-107a-40bf-9e05-0e5c137f211a,INCLUDE,INCLUDE,INCLUDE
05d46991-8a53-452e-b574-33e18f340fac,INCLUDE,INCLUDE,INCLUDE
05d66dfa-e3b0-4f25-8a3a-708867c0b86c,EXCLUDE,EXCLUDE,EXCLUDE
061320c2-0caf-4bb3-b8da-d128bd2e912e,EXCLUDE,EXCLUDE,EXCLUDE
062e9513-6f0b-4100-8e6a-77e431ef21dd,INCLUDE,INCLUDE,INCLUDE
062f0b74-c6c1-4e0d-8f05-ee48f89fcb02,INCLUDE,INCLUDE,INCLUDE
06324d2f-1d36-44ea-83ce-50d36a3d46e3,EXCLUDE,EXCLUDE,EXCLUDE
06615123-8d40-4891-b9c6-57eb865f9369,EXCLUDE,EXCLUDE,EXCLUDE
06693867-b866-4232-8c1d-35c1cac59513,EXCLUDE,EXCLUDE,EXCLUDE
066966ec-ec38-438d-944d-7089c0e84f8a,INCLUDE,EXCLUDE,EXCLUDE
067b8c6d-b90f-450e-9e74-9011f6a40835,INCLUDE,EXCLUDE,INCLUDE
06941b0b-2066-4e31-9f32-6893cd6debeb,INCLUDE,EXCLUDE,EXCLUDE
0699e340-07d6-4b16-8f00-93b817e7947f,INCLUDE,EXCLUDE,EXCLUDE
06aae3c5-9272-4fe9-b182-19efe069668b,EXCLUDE,EXCLUDE,EXCLUDE
06b06b4a-e821-4296-bfe9-3d5dcac65fe5,INCLUDE,INCLUDE,INCLUDE
06b5f3df-ea63-4323-aa4d-9b17a499d30b,INCLUDE,INCLUDE,INCLUDE
06b9eb9d-0e58-48c0-b376-ce68d420f51c,EXCLUDE,EXCLUDE,EXCLUDE
06be6d45-aa6b-4561-b636-3aa26f25c5c1,INCLUDE,INCLUDE,INCLUDE
06c76cb2-5d7a-47db-a79c-118c351b77a3,INCLUDE,EXCLUDE,EXCLUDE
06ed5699-95e6-4a15-b72c-c9a79117b28d,EXCLUDE,EXCLUDE,EXCLUDE
06f8188c-145c-4794-97fe-9a5ff7fa2588,EXCLUDE,EXCLUDE,EXCLUDE
070063ab-6585-480b-84e6-fe6ba43fc65e,INCLUDE,INCLUDE,INCLUDE
0705dbcf-90d7-41ea-a857-a9524afbcd07,EXCLUDE,EXCLUDE,EXCLUDE
0711aab2-18d0-4459-98dd-25a811c4fb39,INCLUDE,INCLUDE,INCLUDE
071b48f8-c59b-41dd-b9b9-d13fba379afa,EXCLUDE,EXCLUDE,EXCLUDE
07219386-f36d-47ab-8488-777beef5c602,EXCLUDE,EXCLUDE,EXCLUDE
072540fc-9295-47fd-8c80-7f53bbdc1fbb,EXCLUDE,EXCLUDE,EXCLUDE
07476d7d-daeb-4e49-8d65-36fa37c61cc7,INCLUDE,EXCLUDE,INCLUDE
07479266-15a3-471b-8e3b-42b2a72e0cf6,EXCLUDE,EXCLUDE,EXCLUDE
0772eb5b-ae0e-490c-a49e-9fdea1d175cd,EXCLUDE,EXCLUDE,EXCLUDE
07751196-e149-4459-ac51-d7ee20011cd2,INCLUDE,EXCLUDE,EXCLUDE
07922750-561b-42a0-9239-6e62f369af4f,INCLUDE,EXCLUDE,EXCLUDE
0793d8c9-498d-4dfc-8fbb-5190fa636483,EXCLUDE,EXCLUDE,EXCLUDE
079d6fb9-e944-4398-8a06-91d66ba2f051,INCLUDE,EXCLUDE,EXCLUDE
07ad972d-26fa-4dd9-8051-ff4d862026ec,EXCLUDE,EXCLUDE,EXCLUDE
07af9878-5864-4f98-99e7-cb61e8d42540,INCLUDE,INCLUDE,INCLUDE
07eb75fe-3683-47d1-9fae-6e3b87d8b5c7,EXCLUDE,EXCLUDE,EXCLUDE
07fd58b1-19ca-4958-b940-64a00b7adf60,EXCLUDE,EXCLUDE,EXCLUDE
0811c972-76d6-4a3a-99a6-22e5f1a5a75c,INCLUDE,EXCLUDE,INCLUDE
0826eb23-2c39-4e8c-8b21-b5422cafc5cc,INCLUDE,INCLUDE,INCLUDE
082c6b2a-ff1c-4fe1-81ed-f1550be94c85,INCLUDE,INCLUDE,INCLUDE
0838db6a-7aee-4133-ab24-4a91a0889867,INCLUDE,EXCLUDE,EXCLUDE
085da989-6323-46f0-b445-f1122012dc74,EXCLUDE,EXCLUDE,EXCLUDE
085f3faa-6533-4db3-b074-cdaf00920db7,INCLUDE,INCLUDE,INCLUDE
086bd314-77ee-4abe-b1bf-ced729abb231,INCLUDE,INCLUDE,EXCLUDE
0888c771-c706-4d5a-8888-f37a06559b97,EXCLUDE,EXCLUDE,EXCLUDE
088fba81-8eb0-4185-a874-e2b37bdc114b,INCLUDE,INCLUDE,INCLUDE
08b12227-1021-4543-8d68-beeaa4353737,EXCLUDE,EXCLUDE,EXCLUDE
08b969b8-9c1d-4feb-bbec-dd189b58a59d,INCLUDE,EXCLUDE,INCLUDE
08bea3a0-2f44-466c-91fa-6f812c1937d7,INCLUDE,INCLUDE,INCLUDE
08c692ad-2689-4426-9988-67b369071f34,INCLUDE,INCLUDE,INCLUDE
08c8b219-1b45-4617-adc6-e37540f667e7,EXCLUDE,EXCLUDE,EXCLUDE
08cbde5f-8ce8-4925-a095-340bc6452c7d,INCLUDE,EXCLUDE,EXCLUDE
08de25e1-6e36-470c-b1a3-7d51046c6c04,EXCLUDE,EXCLUDE,EXCLUDE
08eecc5a-90e7-4f32-92c1-0e4aeaec06f9,INCLUDE,INCLUDE,INCLUDE
08fb136b-93de-4d4e-80e2-6621febd8b35,EXCLUDE,EXCLUDE,EXCLUDE
0904a0af-7511-429a-9a5f-fff663387433,EXCLUDE,EXCLUDE,EXCLUDE
092b2ac8-140f-4214-a9c6-9011388cbcf8,INCLUDE,EXCLUDE,EXCLUDE
09321374-c9e1-4834-a128-e580ea56ee75,INCLUDE,INCLUDE,INCLUDE
0932e09d-c337-44ab-b7fd-6f65035e42f9,EXCLUDE,EXCLUDE,EXCLUDE
0941516e-dc48-4a6b-a52f-3692bf41dea9,INCLUDE,EXCLUDE,INCLUDE
094a841d-484e-4780-a783-73e176c466bc,INCLUDE,EXCLUDE,EXCLUDE
096f73f2-aa1b-4a54-bcb3-c667f2850196,INCLUDE,INCLUDE,INCLUDE
097fa936-7394-495e-8a5b-6de947807a2d,EXCLUDE,EXCLUDE,EXCLUDE
098266d1-432f-44a8-bcc0-d97df67f4cc6,INCLUDE,INCLUDE,INCLUDE
09841b5c-f62d-428c-ac8e-aa726e0f9269,INCLUDE,EXCLUDE,EXCLUDE
0984202c-c51c-45e4-996c-4140fef3d179,INCLUDE,EXCLUDE,EXCLUDE
099ec3a9-50b5-4971-8e18-45706eec9270,INCLUDE,EXCLUDE,INCLUDE
09a2d677-a015-470a-80ad-4f64aaaae7e5,INCLUDE,EXCLUDE,EXCLUDE
09d51b48-e6fb-4f53-87c5-b9baa36be9a1,EXCLUDE,EXCLUDE,EXCLUDE
09e01a62-1ef0-42c1-a9bf-5baa91988528,INCLUDE,INCLUDE,INCLUDE
09e0c53e-72b5-4679-a8eb-1d37a1e0c36b,EXCLUDE,EXCLUDE,EXCLUDE
09e9e089-7c81-4187-9d95-9e9ce2859e75,INCLUDE,INCLUDE,INCLUDE
09f31737-e47a-4144-a93c-b21d03d6e24a,INCLUDE,INCLUDE,INCLUDE
09f66fca-299a-476b-962a-813ecf1578f2,INCLUDE,INCLUDE,INCLUDE
0a036bac-12d5-4106-b7ae-5f65366cd4f6,EXCLUDE,EXCLUDE,EXCLUDE
0a071e72-1581-4187-9a28-9e617ecd4736,INCLUDE,INCLUDE,INCLUDE
0a188a4e-5caa-4ca2-a7cd-50c2b13d8dcc,INCLUDE,INCLUDE,INCLUDE
0a1eff39-4660-4f24-953f-f24e747be28c,EXCLUDE,EXCLUDE,EXCLUDE
0a301c25-372a-408c-a2c1-c1f50fb85b3f,EXCLUDE,EXCLUDE,EXCLUDE
0a393235-3c9f-4e3c-b556-b75d47d9a837,EXCLUDE,EXCLUDE,EXCLUDE
0a48f46f-3a9a-41a6-8573-1dec58ed0dbc,INCLUDE,EXCLUDE,EXCLUDE
0a56a935-2e9a-4b73-89ed-1dc9ae5994d3,EXCLUDE,EXCLUDE,EXCLUDE
0a5f6dff-a29c-4e32-8060-07773e66def3,INCLUDE,INCLUDE,INCLUDE
0a6475b4-3caf-4637-ad09-750a609cd384,INCLUDE,EXCLUDE,EXCLUDE
0a6cc8c8-4210-400c-92ba-6bd2657abd13,INCLUDE,INCLUDE,INCLUDE
0a6d0094-8780-4377-86a4-9156a4273832,INCLUDE,INCLUDE,INCLUDE
0a7f12b4-c0ba-4aef-b42b-b29af77de482,INCLUDE,INCLUDE,INCLUDE
0a93a061-e716-46f9-9c78-d10ced0049f6,EXCLUDE,EXCLUDE,EXCLUDE
0a96f290-8ac9-407b-b260-b822c2fa8601,INCLUDE,EXCLUDE,INCLUDE
0aa7cc0a-d96b-4459-b9af-3ed11a2da65e,INCLUDE,EXCLUDE,INCLUDE
0ac31510-2a3a-4828-92c2-07e4b185da82,EXCLUDE,EXCLUDE,EXCLUDE
0ac9027a-b13c-42ea-818a-0f7a929bb437,INCLUDE,EXCLUDE,INCLUDE
0ae44c2c-2323-4901-bfd7-3fa57926d646,EXCLUDE,EXCLUDE,EXCLUDE
0b04a8d5-4575-47bb-a6c5-8ed4c77bffc1,EXCLUDE,EXCLUDE,EXCLUDE
0b0ef276-74d2-4281-8172-38b9d713364a,INCLUDE,EXCLUDE,INCLUDE
0b208a20-bbbf-40a2-860c-9d8f07d05892,INCLUDE,INCLUDE,INCLUDE
0b2e44c8-ecd4-4e01-9fe8-70290019b967,EXCLUDE,EXCLUDE,EXCLUDE
0b37e899-eeb2-4065-8fe0-ebc56ac55063,EXCLUDE,EXCLUDE,EXCLUDE
0b550eb4-a28e-4194-b3df-1713a8b6e37c,INCLUDE,INCLUDE,INCLUDE
0b5a51d6-1216-4286-b948-83c318f35405,INCLUDE,EXCLUDE,INCLUDE
0b65126d-5019-45d9-80bf-c4ac05d041d5,INCLUDE,EXCLUDE,EXCLUDE
0b66ec65-f801-4b43-a7f3-1bfc74d0295f,INCLUDE,INCLUDE,INCLUDE
0b6dcc0c-668b-48f8-863e-62cea6c2a30d,INCLUDE,EXCLUDE,EXCLUDE
0b9f981d-a446-4533-98ba-95d8f225f3d1,INCLUDE,EXCLUDE,EXCLUDE
0ba8fcd3-6a51-4879-943a-d5305ba53e75,INCLUDE,EXCLUDE,EXCLUDE
0bb4a210-baec-4a57-b590-2c82fdc2384b,INCLUDE,INCLUDE,INCLUDE
0bc24bd0-6a9d-4e43-a9c4-feb4e3d1f266,EXCLUDE,EXCLUDE,EXCLUDE
0bc28c89-d185-44d5-a3fc-d22f5a4b4afb,INCLUDE,EXCLUDE,EXCLUDE
0bc744e8-491e-4eb3-80d2-2756fb73c210,INCLUDE,EXCLUDE,EXCLUDE
0bd73ff8-7ffb-4d84-835a-103227c53ce6,INCLUDE,EXCLUDE,EXCLUDE
0bdb67a6-351b-4203-85b0-99dff9fea187,INCLUDE,EXCLUDE,INCLUDE
0be371c7-0dc9-4602-868b-b45ae5f3d9ae,EXCLUDE,EXCLUDE,EXCLUDE
0bf1232b-f0af-4bbc-b097-d33641c859e1,INCLUDE,EXCLUDE,EXCLUDE
0bf563ec-5f03-4182-a1b0-1c49694ad2b9,EXCLUDE,EXCLUDE,EXCLUDE
0bf62fad-404d-4bee-bd1f-387558f0c69c,INCLUDE,EXCLUDE,EXCLUDE
0bf7b02f-2409-4e16-bddf-7ad5a3cc9890,INCLUDE,EXCLUDE,EXCLUDE
0c07cd18-9b51-41e4-a313-eef851fdc4f5,EXCLUDE,EXCLUDE,EXCLUDE
0c218033-44c1-4317-bb64-60a56223c32e,EXCLUDE,EXCLUDE,EXCLUDE
0c2d2490-9f4a-47ed-a6f5-8192320a9c05,INCLUDE,INCLUDE,INCLUDE
0c2f8f08-e89e-420a-83d4-d4aaff19faae,EXCLUDE,EXCLUDE,EXCLUDE
0c44375e-741c-47ac-950f-4fd40f6d5885,INCLUDE,EXCLUDE,EXCLUDE
0c5436cc-5ff5-4972-addd-ab9c91c0fe3e,INCLUDE,EXCLUDE,EXCLUDE
0c5e153e-8f5e-4e45-bb05-ec51d4b45e63,INCLUDE,INCLUDE,INCLUDE
0c5f25a9-969d-4919-a0b3-8d5b27288fcd,EXCLUDE,EXCLUDE,EXCLUDE
0c67e167-3bff-4567-bc3b-2a3f2abd84f0,EXCLUDE,EXCLUDE,EXCLUDE
0c71a7bb-658a-486f-9122-90ef0d70abde,EXCLUDE,EXCLUDE,EXCLUDE
0c80acf5-210f-4c34-965f-bc3224b0b4b2,EXCLUDE,EXCLUDE,EXCLUDE
0c874a55-efe8-46cb-9a14-b6bac00d4be9,INCLUDE,EXCLUDE,EXCLUDE
0c9b83bd-33d5-4103-bf07-898015e1efb3,INCLUDE,EXCLUDE,EXCLUDE
0c9be217-5e9f-4f94-9087-7ff2461fb317,EXCLUDE,EXCLUDE,EXCLUDE
0cb048a5-aff2-4598-b5f1-0d6549b44e44,INCLUDE,INCLUDE,INCLUDE
0cbe5c9a-138c-4c85-984b-618c680968e0,EXCLUDE,EXCLUDE,EXCLUDE
0cc3a9a8-1682-42d9-8a94-bfa4623c58ce,INCLUDE,INCLUDE,INCLUDE
0cc8c62a-9875-4cb1-8f89-afe8ad0d1650,INCLUDE,EXCLUDE,EXCLUDE
0cea34e8-5bf0-4333-87e6-44ba333376ed,INCLUDE,EXCLUDE,EXCLUDE
0cef1076-ad5f-47d6-8519-eb11a8e033a7,INCLUDE,EXCLUDE,INCLUDE
0d01c75d-a735-45bb-85a5-a6b60b63e8cc,INCLUDE,INCLUDE,INCLUDE
0d02f725-5b32-4508-b1a8-4de64ca401ee,INCLUDE,INCLUDE,INCLUDE
0d0dc103-8e4b-4744-9673-a9b7ad8c5397,INCLUDE,EXCLUDE,EXCLUDE
0d279386-3a92-418a-9183-0cccad773f6d,INCLUDE,EXCLUDE,INCLUDE
0d2f5dae-0aa7-452f-8993-b1959fecb938,EXCLUDE,EXCLUDE,EXCLUDE
0d4401d4-b2e4-48e7-b6ac-54f3c2924880,EXCLUDE,EXCLUDE,EXCLUDE
0d509aa8-553c-4ab6-9dec-08b3acaff851,INCLUDE,INCLUDE,INCLUDE
0d807d40-5185-4fb6-a879-34214e235b1e,EXCLUDE,EXCLUDE,EXCLUDE
0da21b7a-895b-4882-98d6-7ab767be7d2b,EXCLUDE,EXCLUDE,EXCLUDE
0da5a96d-f187-4411-b14d-b0df6d8ed267,EXCLUDE,EXCLUDE,EXCLUDE
0da9f20c-8bf4-4b35-99ab-336fd5e749d5,INCLUDE,INCLUDE,INCLUDE
0db6bbd1-8a14-4aa6-9e39-55bebefe0d9f,EXCLUDE,EXCLUDE,EXCLUDE
0dc7b5ec-81a8-4207-b3ac-4dccfec5f21b,INCLUDE,INCLUDE,INCLUDE
0dd9458e-1956-4387-b72c-bc482e81d520,INCLUDE,INCLUDE,INCLUDE
0dde3b0b-1bf7-4f5b-bb94-48b37e0932c4,EXCLUDE,EXCLUDE,EXCLUDE
0dec3601-3598-46c0-b818-6052d0c714d1,EXCLUDE,EXCLUDE,EXCLUDE
0e07b536-7a8f-4f54-b6e5-3595e7ec667a,INCLUDE,INCLUDE,INCLUDE
0e0a8f12-3b43-4e99-bca4-48c284934ccd,EXCLUDE,EXCLUDE,EXCLUDE
0e0ebd76-6e73-4ed3-90eb-e9a5341b0c47,EXCLUDE,EXCLUDE,EXCLUDE
0e1d58c2-965c-4a00-8ee4-75dc75ab6400,INCLUDE,EXCLUDE,INCLUDE
0e291df4-27f3-4e7b-ad11-65a25ae3df86,EXCLUDE,EXCLUDE,EXCLUDE
0e2dd03b-52fa-4649-ab4b-5d26a0c4aa4f,EXCLUDE,EXCLUDE,EXCLUDE
0e30cca4-e124-47b6-99f6-92b04bacea6d,EXCLUDE,EXCLUDE,EXCLUDE
0e32977c-dad6-4d0a-93e7-f97c109b3e5c,INCLUDE,INCLUDE,INCLUDE
0e448539-2376-4f0b-88cf-3e71bb89cb6e,EXCLUDE,EXCLUDE,EXCLUDE
0e66a1ab-e37d-47d0-85c8-560407a2fe47,EXCLUDE,EXCLUDE,EXCLUDE
0e6e391e-69a3-4418-92b6-b611b3e0bbc2,EXCLUDE,EXCLUDE,EXCLUDE
0ea9cc1d-8f21-4136-af74-66facade62a9,EXCLUDE,EXCLUDE,EXCLUDE
0eacc833-6cb8-414c-b5cf-056a39022cd5,EXCLUDE,EXCLUDE,EXCLUDE
0eb14d5c-f37a-4c93-80f7-62e165c1542e,INCLUDE,INCLUDE,INCLUDE
0eb36d02-608c-490f-8d62-680e3f58d9ca,EXCLUDE,EXCLUDE,EXCLUDE
0eb6112d-9273-4278-968a-83a375f92ada,INCLUDE,INCLUDE,INCLUDE
0ec7e720-db3c-4115-8629-236d0d159dda,EXCLUDE,EXCLUDE,EXCLUDE
0eccc899-6b01-4a0e-94cb-a1e619894dd9,EXCLUDE,EXCLUDE,EXCLUDE
0ed301d2-f5f7-4e19-83e8-c975f03d080e,EXCLUDE,EXCLUDE,EXCLUDE
0ee439f1-431a-4504-9894-d2563d46df7a,INCLUDE,INCLUDE,INCLUDE
0eee8536-0550-423d-ab25-6461c97e70ff,EXCLUDE,EXCLUDE,EXCLUDE
0eef95a2-bfd8-4fb5-8627-de1cadf7a2af,INCLUDE,INCLUDE,INCLUDE
